[1102/153012:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/153212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/153756:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/153943:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/154305:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/155304:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/155347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/155510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/170821:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/171422:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/171622:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/171707:ERROR:file_io.



cc(30)] read: expected 4, observed 0
[1102/172236:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/172739:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/173112:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/173248:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/173523:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/174924:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/175056:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/175207:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/175554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/180138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/180519:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/180858:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181611:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181659:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183550:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/161743:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/174430:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/174700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/174826:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/175146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/175629:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/175750:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/175830:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/180311:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/180403:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/180855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/181205:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/181547:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/181815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/182600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/184037:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/184253:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/184421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/184652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185353:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185559:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185736:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185804:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185830:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/185934:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/190121:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/190202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/103457:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/104009:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/105029:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/105709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/105828:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/105933:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/112308:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/112348:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/144019:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/150055:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/150130:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/150344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/150807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/151019:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/151106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/151808:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/152036:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/152103:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/152209:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/155545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/171300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/171352:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/171509:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/171529:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/172221:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/172251:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/173037:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/173620:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/174125:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/174928:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/175526:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/175930:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/180209:ERROR:file_io.cc(30)] read: expected 4, observed 0
